no_of_weekend_nights,year,market_segment_type_Online,day_of_week,market_segment_type_other,no_of_special_requests,required_car_parking_space,avg_price_per_room_mm,repeated_guest,type_of_meal_plan_Not Selected,lead_time_transf,is_wknd
1,2018,1,3,0,1,0,0.3107986838169309,0,1,-0.3430212391179341,0
0,2017,1,1,0,1,0,0.3640442716123243,0,0,-1.985608868000325,0
0,2018,1,7,0,1,0,0.8426562967394555,0,0,-0.2428050558244946,1
2,2018,1,2,0,1,0,0.8923122943463955,0,0,-0.1331721994535322,0
2,2018,1,4,0,1,0,0.3429853425067305,0,0,-0.1507417285742625,0
0,2018,0,7,0,0,0,0.3341310200418785,0,0,1.6285319695210685,1
0,2018,1,4,0,0,0,0.4295542925516003,0,0,1.622974400452564,0
1,2017,0,4,0,0,0,0.2668262040083757,0,0,-0.4303983582298242,0
0,2018,1,5,0,1,0,0.4962608435536942,0,0,1.2490402189438825,1
1,2018,1,3,0,0,1,0.5369428656895004,0,0,0.0448729401356539,0
1,2018,1,3,0,1,0,0.4804068202213581,0,0,0.8539895577433687,0
1,2018,0,4,1,0,0,0.268321866586898,0,0,-0.4078740168023441,0
1,2018,1,3,0,2,0,0.7855219862399041,0,0,0.7749771055739592,0
2,2018,1,2,0,1,0,0.5800179479509422,0,0,-0.2818155093780657,0
0,2018,1,1,0,1,0,0.7630870475620698,0,0,1.1440881652255075,0
0,2018,1,6,0,1,0,0.6123242596470235,0,0,0.7749771055739592,1
1,2018,1,5,0,0,0,0.4238707747532156,0,0,0.4781046931408519,1
0,2018,1,5,0,0,0,0.3939575231827699,0,0,-1.0038440334366296,1
0,2017,0,5,0,0,0,0.3640442716123243,1,0,-0.7813917674178052,1
0,2017,0,5,1,0,0,0.2743045169009871,1,0,-1.384355375311487,1
1,2017,0,1,0,0,0,0.3341310200418785,0,0,0.1600999635136913,0
0,2017,0,1,0,0,0,0.4059228238109482,0,0,0.5836747532510416,0
0,2018,1,7,0,0,0,0.8384684415195931,0,0,0.4890096334269794,1
2,2018,1,5,0,0,0,0.6877056536045467,0,0,-0.0987961844548332,1
2,2017,1,2,0,3,0,0.3176787316781334,0,0,0.7477429251771082,0
1,2018,1,3,0,0,0,0.5100209392760993,0,0,0.7568733526288431,0
0,2017,0,6,1,0,0,0.2743045169009871,0,0,-0.5510080442930118,1
0,2018,0,4,0,0,0,0.6033502841758899,0,0,0.2272686863786324,0
1,2017,0,1,0,0,0,0.3441220460664074,0,0,1.4785877548803903,0
1,2018,1,3,0,1,0,0.4917140293149866,0,0,-0.1866916119251648,0
0,2018,1,7,0,1,0,0.5692491773855817,0,0,0.8539895577433687,1
1,2018,1,3,0,0,0,0.6661681124738258,0,0,0.6337823531304649,0
0,2018,0,7,0,0,0,0.7230032904576726,0,0,-0.6882827749845334,1
1,2018,1,1,0,1,0,0.2548609033801974,0,0,-0.3430212391179341,0
2,2018,1,2,0,0,0,0.4830990128626982,0,0,0.9211207587548556,0
0,2018,0,5,0,0,0,0.3640442716123243,0,0,-0.3430212391179341,1
0,2018,0,7,0,0,0,0.483697277894107,0,0,1.4299775831198671,1
0,2017,1,6,0,2,0,0.4819623093030211,0,0,-0.2621411863055919,1
0,2018,1,5,0,0,0,0.3446006580915345,0,1,-1.1431884582559426,1
0,2018,0,7,1,1,0,0.2743045169009871,1,0,-1.985608868000325,1
0,2018,1,5,0,0,0,0.4497756506132216,0,0,1.3737384027322683,1
1,2017,1,4,0,0,0,0.567454382291355,0,0,-1.985608868000325,0
