no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,required_car_parking_space,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,no_of_special_requests,month,day_of_month,day_of_year,week_of_month,week_of_year,day_of_week,year,is_wknd,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,lead_time_transf,type_of_meal_plan_Not Selected,type_of_meal_plan_other,room_type_reserved_Room_Type 4,room_type_reserved_other,market_segment_type_Online,market_segment_type_other,avg_price_per_room_mm,status
2,0,1,2,0,0,0,0,1,3,14,73,2,11,3,2018,0,1,0,0,0,0,0,0,-0.3430212391179341,1,0,0,0,1,0,0.3107986838169309,0
1,0,0,2,0,0,0,0,1,8,7,219,1,32,1,2017,0,3,0,0,0,0,0,0,-1.985608868000325,0,0,0,0,1,0,0.3640442716123243,0
2,0,0,2,0,0,0,0,1,10,21,294,3,42,7,2018,1,4,0,0,0,0,0,0,-0.24280505582449466,0,0,0,0,1,0,0.8426562967394555,1
3,0,2,1,0,0,0,0,1,9,11,254,2,37,2,2018,0,3,0,0,0,0,0,0,-0.13317219945353223,0,0,1,0,1,0,0.8923122943463955,0
2,1,2,5,0,0,0,0,1,3,15,74,3,11,4,2018,0,1,0,0,0,0,0,0,-0.15074172857426252,0,0,1,0,1,0,0.3429853425067305,1
2,0,0,2,0,0,0,0,0,6,17,168,3,24,7,2018,1,2,0,0,0,0,0,0,1.6285319695210683,0,0,0,0,0,0,0.33413102004187856,1
2,0,0,4,0,0,0,0,0,8,2,214,1,31,4,2018,0,3,0,0,0,0,0,0,1.622974400452564,0,0,0,0,1,0,0.4295542925516003,1
2,0,1,3,0,0,0,0,0,10,5,278,1,40,4,2017,0,4,0,0,0,0,0,0,-0.43039835822982425,0,0,1,0,0,0,0.2668262040083757,0
2,0,0,4,0,0,0,0,1,9,21,264,3,38,5,2018,1,3,0,0,0,0,0,0,1.2490402189438823,0,0,1,0,1,0,0.4962608435536942,1
2,0,1,2,1,0,0,0,0,6,20,171,3,25,3,2018,0,2,0,0,0,0,0,0,0.0448729401356539,0,0,0,0,1,0,0.5369428656895004,0
2,0,1,3,0,0,0,0,1,8,1,213,1,31,3,2018,0,3,1,0,0,0,0,0,0.8539895577433687,0,0,0,0,1,0,0.4804068202213581,0
2,0,1,1,0,0,0,0,0,1,25,25,4,4,4,2018,0,1,0,0,0,0,0,0,-0.4078740168023441,0,0,0,0,0,1,0.268321866586898,0
3,0,1,4,0,0,0,0,2,6,13,164,2,24,3,2018,0,2,0,0,0,0,0,0,0.7749771055739592,0,0,1,0,1,0,0.7855219862399041,0
2,0,2,3,0,0,0,0,1,3,6,65,1,10,2,2018,0,1,0,0,0,0,0,0,-0.28181550937806576,0,0,0,0,1,0,0.5800179479509422,1
3,0,0,1,0,0,0,0,1,8,13,225,2,33,1,2018,0,3,0,0,0,0,0,0,1.1440881652255077,0,0,0,0,1,0,0.7630870475620698,1
2,0,0,3,0,0,0,0,1,5,12,132,2,19,6,2018,1,2,0,0,0,0,0,0,0.7749771055739592,0,0,1,0,1,0,0.6123242596470235,0
2,0,1,4,0,0,0,0,0,11,2,306,1,44,5,2018,1,4,0,0,0,0,0,0,0.47810469314085197,0,0,0,0,1,0,0.4238707747532156,0
1,0,0,1,0,0,0,0,0,2,16,47,3,7,5,2018,1,1,0,0,0,0,0,0,-1.0038440334366296,0,0,0,0,1,0,0.39395752318276994,0
1,0,0,3,0,1,1,0,0,10,6,279,1,40,5,2017,1,4,0,0,0,0,0,0,-0.7813917674178052,0,0,0,0,0,0,0.3640442716123243,0
1,0,0,2,0,1,2,10,0,11,17,321,3,46,5,2017,1,4,0,0,0,0,0,0,-1.384355375311487,0,0,0,0,0,1,0.2743045169009871,0
2,0,1,2,0,0,0,0,0,10,9,282,2,41,1,2017,0,4,0,0,0,0,0,0,0.16009996351369138,0,0,0,0,0,0,0.33413102004187856,1
1,0,0,2,0,0,0,0,0,10,16,289,3,42,1,2017,0,4,0,0,0,0,0,0,0.5836747532510416,0,1,0,0,0,0,0.4059228238109482,0
3,0,0,2,0,0,0,0,0,6,3,154,1,22,7,2018,1,2,0,0,0,0,0,0,0.4890096334269794,0,0,1,0,1,0,0.8384684415195931,0
2,1,2,4,0,0,0,0,0,6,29,180,5,26,5,2018,1,2,0,0,0,0,0,0,-0.09879618445483326,0,0,0,0,1,0,0.6877056536045467,0
2,0,2,1,0,0,0,0,3,12,26,360,4,52,2,2017,0,4,0,0,0,0,0,0,0.7477429251771082,0,0,0,0,1,0,0.31767873167813343,0
2,0,1,0,0,0,0,0,0,10,31,304,5,44,3,2018,0,4,0,1,0,0,0,0,0.7568733526288431,0,0,1,0,1,0,0.5100209392760993,0
1,0,0,2,0,0,0,0,0,9,16,259,3,37,6,2017,1,3,0,0,0,0,0,0,-0.5510080442930118,0,0,0,0,0,1,0.2743045169009871,0
1,0,0,3,0,0,0,0,0,6,14,165,2,24,4,2018,0,2,0,0,0,0,0,0,0.2272686863786324,0,0,0,0,0,0,0.6033502841758899,0
1,0,1,2,0,0,0,0,0,9,4,247,1,36,1,2017,0,3,0,0,0,0,0,0,1.4785877548803905,0,0,0,0,0,0,0.3441220460664074,0
2,0,1,3,0,0,0,0,1,4,25,115,4,17,3,2018,0,2,0,0,0,0,0,0,-0.18669161192516484,0,0,0,0,1,0,0.4917140293149866,0
2,0,0,1,0,0,0,0,1,5,13,133,2,19,7,2018,1,2,0,0,0,0,0,0,0.8539895577433687,0,0,1,0,1,0,0.5692491773855817,1
1,0,1,1,0,0,0,0,0,9,19,262,3,38,3,2018,0,3,0,0,0,0,0,0,0.6337823531304649,0,0,0,0,1,0,0.6661681124738258,1
2,0,0,2,0,0,0,0,0,5,20,140,3,20,7,2018,1,2,0,0,0,0,0,0,-0.6882827749845334,0,0,0,0,0,0,0.7230032904576726,0
2,0,1,2,0,0,0,0,1,2,12,43,2,7,1,2018,0,1,0,0,0,0,0,0,-0.3430212391179341,0,0,1,0,1,0,0.2548609033801974,0
1,0,2,1,0,0,0,0,0,5,15,135,3,20,2,2018,0,2,0,0,0,0,0,0,0.9211207587548557,0,0,0,0,1,0,0.48309901286269824,1
1,0,0,2,0,0,0,0,0,1,19,19,3,3,5,2018,1,1,0,0,0,0,0,0,-0.3430212391179341,0,0,0,0,0,0,0.3640442716123243,0
2,0,0,2,0,0,0,0,0,5,20,140,3,20,7,2018,1,2,0,0,0,0,0,0,1.4299775831198673,0,0,0,0,0,0,0.48369727789410705,1
3,0,0,3,0,0,0,0,2,10,7,280,1,40,6,2017,1,4,0,0,0,0,0,0,-0.26214118630559197,0,0,0,0,1,0,0.48196230930302114,0
2,1,0,4,0,0,0,0,0,3,2,61,1,9,5,2018,1,1,0,0,0,0,0,0,-1.1431884582559426,1,0,0,0,1,0,0.34460065809153456,0
1,0,0,1,0,1,0,3,1,1,28,28,4,4,7,2018,1,1,0,0,0,0,0,0,-1.985608868000325,0,0,0,0,0,1,0.2743045169009871,0
2,0,0,4,0,0,0,0,0,11,2,306,1,44,5,2018,1,4,0,0,0,0,0,0,1.3737384027322685,0,0,0,0,1,0,0.4497756506132216,1
2,0,1,1,0,0,0,0,0,8,10,222,2,32,4,2017,0,3,0,0,0,0,0,0,-1.985608868000325,0,0,0,0,1,0,0.567454382291355,0
1,0,6,15,0,0,0,0,0,4,13,103,2,15,5,2018,1,2,0,0,0,0,0,0,-1.2531952897202767,0,0,0,0,0,1,0.6631767873167812,1
2,0,0,3,0,0,0,0,2,9,9,252,2,36,6,2017,1,3,0,0,0,0,0,0,-0.9624117371999295,0,1,0,0,0,0,0.5614717319772659,0
2,1,1,1,0,0,0,0,0,2,6,37,1,6,2,2018,0,1,0,0,0,0,0,0,-1.985608868000325,0,0,0,0,1,0,0.6033502841758899,0
2,0,0,3,0,0,0,0,1,12,17,351,3,50,7,2017,1,4,0,0,0,0,0,0,0.7928762038744863,0,0,0,0,1,0,0.31767873167813343,1
2,0,0,4,0,0,0,0,0,12,23,357,4,51,6,2017,1,4,0,0,0,0,0,0,0.0448729401356539,0,1,0,0,0,0,0.23422075979658985,0
2,0,2,2,0,0,0,0,0,2,13,44,2,7,2,2018,0,1,0,0,0,0,0,0,0.24030572131726974,0,0,0,0,0,0,0.24439126533054145,0
2,0,0,4,0,0,0,0,1,12,7,341,1,49,5,2018,1,4,0,0,0,0,0,0,-0.13317219945353223,1,0,0,0,1,0,0.3329344899790607,0
0,2,2,2,0,0,0,0,1,9,4,247,1,36,2,2018,0,3,0,0,0,0,0,0,1.2693081639447708,0,0,0,1,1,0,0.5555489081663176,1
3,0,2,2,0,0,0,0,0,6,26,177,4,26,2,2018,0,2,0,0,0,0,0,0,0.5527874866365081,0,0,1,0,1,0,0.6634759198324858,1
2,0,0,4,0,0,0,0,1,9,21,264,3,38,5,2018,1,3,0,0,0,0,0,0,1.8932465238917502,0,1,0,0,1,0,0.5854023332336225,1
2,0,2,5,0,0,0,0,0,6,8,159,2,23,5,2018,1,2,0,0,0,0,0,0,0.4223108037762752,1,0,0,0,1,0,0.4451091833682321,1
2,0,0,2,0,0,0,0,1,5,17,137,3,20,4,2018,0,2,0,0,0,0,0,0,0.132243302045638,0,0,0,0,0,1,0.7230032904576726,0
2,0,2,1,0,0,0,0,0,7,5,186,1,27,3,2017,0,3,0,0,0,0,0,0,0.3993701532815155,0,0,0,0,1,0,0.19868381693090037,1
1,0,2,1,0,0,0,0,0,2,28,59,4,9,3,2018,0,1,0,1,0,0,0,0,-1.985608868000325,0,0,0,0,0,0,0.24439126533054145,1
2,0,2,3,0,0,0,0,0,3,31,90,5,13,6,2018,1,1,0,1,0,1,0,0,-0.9624117371999295,0,0,1,0,1,0,0.7230032904576726,0
2,0,0,5,0,0,0,0,0,8,2,214,1,31,4,2018,0,3,0,0,0,0,0,0,0.6337823531304649,0,0,0,0,1,0,0.5261740951241399,1
2,0,1,2,0,0,0,0,0,7,13,194,2,28,4,2017,0,3,0,0,0,0,0,0,0.25321778840332065,0,0,0,0,1,0,0.34310499551301227,1
1,0,0,2,0,0,0,0,0,6,15,166,3,24,5,2018,1,2,0,0,0,0,0,0,1.2826945029096373,0,0,0,0,0,0,0.6631767873167812,1
2,0,0,3,0,0,0,0,0,9,17,260,3,37,7,2017,1,3,0,0,0,0,0,0,1.100285175975823,0,0,0,0,0,0,0.30421776847143284,0
2,0,2,3,0,0,0,0,0,10,9,282,2,41,2,2018,0,4,0,0,0,0,0,0,1.736521529734345,0,0,0,0,1,0,0.4854920729883338,1
2,0,2,2,0,0,0,0,0,10,7,280,1,40,7,2018,1,4,0,0,0,0,0,0,0.2272686863786324,0,0,1,0,1,0,0.49488483398145383,1
2,0,0,5,0,0,0,0,0,4,12,102,2,15,4,2018,0,2,0,0,0,0,0,0,-1.985608868000325,0,1,0,0,0,0,0.6033502841758899,0
1,0,0,1,0,0,0,0,1,11,4,308,1,44,7,2018,1,4,0,0,0,0,0,0,-0.43039835822982425,0,0,0,0,1,0,0.6272808854322464,1
2,0,0,2,0,0,0,0,1,11,20,324,3,47,1,2017,0,4,0,0,0,0,0,0,0.4560457404498526,0,0,0,0,1,0,0.31767873167813343,1
1,0,1,2,0,0,0,0,0,8,19,231,3,33,7,2018,1,3,0,0,0,0,0,0,0.18737723416663243,0,1,1,0,1,0,0.9838468441519592,1
2,0,1,3,0,0,0,0,1,4,7,97,1,14,6,2018,1,2,0,0,0,0,0,0,0.4223108037762752,0,0,0,0,1,0,0.37870176488184265,0
2,0,0,3,0,0,0,0,0,8,5,217,1,31,6,2017,1,3,0,0,0,0,0,0,-1.047549579600935,0,0,0,0,0,1,0.2743045169009871,0
2,0,2,1,0,0,0,0,1,4,9,99,2,15,1,2018,0,2,0,0,0,0,0,0,0.25321778840332065,0,0,1,0,1,0,0.5782231528567154,0
1,0,2,1,0,0,0,0,0,10,15,288,3,42,1,2018,0,4,0,0,0,0,0,0,1.107662914478282,0,0,0,0,0,0,0.5734370326054441,1
1,0,2,3,0,0,0,0,0,1,2,2,1,1,2,2018,0,1,0,0,0,0,0,0,-1.7911413536931085,0,0,0,0,1,0,0.41190547412503736,0
